Feature,Normalized.Dispersion
ENSG00000162521,-0.701940775172457
ENSG00000162520,-0.8824644130309542
ENSG00000224409,NaN
ENSG00000162522,-1.250197541796026
ENSG00000134684,0.28940519763994144
ENSG00000116497,0.7561490371753269
ENSG00000160097,NaN
ENSG00000287691,3.601124854170989
ENSG00000116514,2.1712250323261046
ENSG00000236065,-1.1564331170159814
ENSG00000004455,-0.915218062326651
ENSG00000142920,6.967309669833193
ENSG00000116525,0.08698928795680075
ENSG00000284721,2.319179662104179
ENSG00000160094,0.5593502792915509
ENSG00000184389,-0.9259206606737368
ENSG00000225313,-0.4855089891433282
ENSG00000134686,-1.3402253768787187
ENSG00000233246,-1.2583768321016526
ENSG00000121903,-0.672885765557905
ENSG00000121904,-0.6803621720035644
ENSG00000163866,3.178309399684251
ENSG00000187513,NaN
ENSG00000116544,-0.8563406116083027
ENSG00000243749,-1.685625227774733
ENSG00000163867,-0.4548869026327471
ENSG00000197056,0.6353957367483486
ENSG00000116560,-0.6277243079712646
ENSG00000146463,0.3919470346217448
ENSG00000227409,-0.5223585315839363
ENSG00000142687,-0.03727449344598546
ENSG00000020129,-1.052686531634696
ENSG00000239636,0.2625888930205407
ENSG00000116819,-0.47318039496988124
ENSG00000126067,-1.7576566505533249
ENSG00000142686,-1.311727567547343
ENSG00000092853,5.326098150671189
ENSG00000134698,1.1176288270524959
ENSG00000092847,-0.6475273766089685
ENSG00000286899,NaN
ENSG00000271914,0.04329783120505584
ENSG00000126070,-0.2818569721074959
ENSG00000271554,-0.8544252570267907
ENSG00000116863,-0.8545085913110446
ENSG00000171812,-1.8593280228043172
ENSG00000054116,-0.924220039617408
ENSG00000116871,-0.6065609472770004
ENSG00000054118,-1.0658724103628727
ENSG00000214193,1.3477646688869682
ENSG00000142694,30.399692301240187
ENSG00000286379,0.5001279554158876
ENSG00000196182,-0.6717134476372955
ENSG00000181817,-1.6932073606405038
ENSG00000116885,4.939248457616948
ENSG00000116898,-1.84317335328939
ENSG00000119535,6.137263259472013
ENSG00000163873,NaN
ENSG00000233621,5.240966751094632
ENSG00000163874,2.0333452172827116
ENSG00000163875,-1.2413311696761262
ENSG00000163877,-0.8631686674659543
ENSG00000134697,0.607159473486028
ENSG00000284748,NaN
ENSG00000169218,NaN
